Headline,Date,Section,Article
Man attacks family members to bring home paramour,10/3/2018,home,"SURAT: A 50-year old diamond worker was booked for allegedly assaulting his wife, daughter and son-in-law in Kapodara area late on Thursday. Accused Ravji Rangani, who lives in Chamundanagar Society, wanted to throw them out of the house so that he could bring his paramour to live with him. Kapodara police station officials said Rangani had been forcing his wife Chanda to return to her native town Jasdan near Rajkot after his mother died four years ago. However, she refused to go and continued to live on the ground floor of their two-storey house. Early on Thursday morning when Chanda, his daughter Bhagyashree and her husband Jagdish were asleep, Rangani attacked them with knife and stabbed them. He fled from the house after attacking them. However, they received minor injuries. He was booked for attempt to murder. “Rangani has a second wife, who lives outside Surat and he wanted to bring her home. Chanda knew about this and refused to return to Jasdan,” the police said. "
Woman held for hubby's murder,10/3/2018,home,"LUCKNOW: Banthara police arrested a woman for plotting murder of her husband in connivance with her paramour who is on the run, along with an aide. The body of the deceased, Viru (30) a class four employee, was recovered from thickets in Ammawa, Banthara on Feb 3. The accused Seema Rawat (26) fell in love with one Amitabh (30) when she visited Chandigarh. When Viru opposed her relation, she planned to eliminate him with Amitabh's help, said ASP east Sarvesh Mishra . Seema asked him to reach Pipersand railway station where Amitabh and his aides Ajay, Durgesh, Suraj offered him drinks and killed him. "
RBI had asked lenders to check SWIFT network: Rajan,15/3/2018,city,"MUMBAI: Breaking his silence on the PNB scam, former RBI governor Raghuram Rajan said the central bank, during his tenure, had asked lenders to take action on vulnerabilities in their operation of the SWIFT network. The RBI had also sent a list of bank frauds to the Prime Minister’s Office seeking joint action by banking investigators and enforcement authorities. Rajan, however, did not elaborate which Prime Minister the list was sent to nor if there was any action taken. “When a way is discovered ... for example, with the SWIFT system it was the problem at Bangladesh Bank which unearthed the problems that were there. When the problem is discovered, it is important that the regulators send the message to the banks that we have unearthed this problem, now fix it in your systems. If they haven’t, we have to understand why the banks didn’t,” Rajan said in an interview to CNBC TV18. SWIFT provides a network that enables financial institutions worldwide to send and receive information about transactions in a secure, standardised and reliable environment. On frauds, Rajan said the RBI’s main concern was that even after scams are unearthed, culprits are never brought to book. “We said we need to bring together all the people involved both in unearthing as well as investigating and see how we can move forward. So, we sent a list of the big frauds to the Prime Minister’s Office to try and get some action on that.” Rajan said that the PNB fraud threw up several questions: Why was this letter of undertaking (LoU) given? Why was it not recorded in the banking system? Did management take notice of it? Was it put before the board? And, of course, after that did auditors pick it up? If not, why didn’t they pick it up as auditors go branch by branch? Were the regulators’ instructions obeyed over time or were they not? And, why were they not obeyed? He added that since the owner in this case was the government, which appoints board members as well as the management, another question is what is their culpability in the whole thing? Rajan also said that guarantees received a cavalier treatment in India — whether it is a bank-given guarantee or a government-given one. “We don’t think these are real. It is only when they are called upon by the entity that has relied on them, we understand it is almost like giving a loan or, in fact more, because it is usually called upon when the loan is in distress,” said Rajan. According to him, providing a guarantee is like giving an equity. “Unless we account for these properly, there are huge contingent liabilities on the government balance sheet as well as on the bank’s, and it is important that we acknowledge them,” he said. On the 80:20 gold import scheme, Rajan said “objective criteria” was followed in liberalising the scheme in May 2014 when the government was in transition. “Our job was to see is this done in a reasonable way. I have not been able to go back to the circulars that were issued and the underlying discussions.” Mumbai: Breaking his silence on the PNB scam, former RBI governor Raghuram Rajan said the central bank, during his tenure, had asked lenders to take action on vulnerabilities in their operation of the SWIFT network. The RBI had also sent a list of bank frauds to the Prime Minister’s Office seeking joint action by banking investigators and enforcement authorities. Rajan, however, did not elaborate which Prime Minister the list was sent to nor if there was any action taken. “When a way is discovered ... for example, with the SWIFT system it was the problem at Bangladesh Bank which unearthed the problems that were there. When the problem is discovered, it is important that the regulators send the message to the banks that we have unearthed this problem, now fix it in your systems. If they haven’t, we have to understand why the banks didn’t,” Rajan said in an interview to CNBC TV18. SWIFT provides a network that enables financial institutions worldwide to send and receive information about transactions in a secure, standardised and reliable environment. On frauds, Rajan said the RBI’s main concern was that even after scams are unearthed, culprits are never brought to book. “We said we need to bring together all the people involved both in unearthing as well as investigating and see how we can move forward. So, we sent a list of the big frauds to the Prime Minister’s Office to try and get some action on that.” Rajan said that the PNB fraud threw up several questions: Why was this letter of undertaking (LoU) given? Why was it not recorded in the banking system? Did management take notice of it? Was it put before the board? And, of course, after that did auditors pick it up? If not, why didn’t they pick it up as auditors go branch by branch? Were the regulators’ instructions obeyed over time or were they not? And, why were they not obeyed? He added that since the owner in this case was the government, which appoints board members as well as the management, another question is what is their culpability in the whole thing? Rajan also said that guarantees received a cavalier treatment in India — whether it is a bank-given guarantee or a government-given one. “We don’t think these are real. It is only when they are called upon by the entity that has relied on them, we understand it is almost like giving a loan or, in fact more, because it is usually called upon when the loan is in distress,” said Rajan. According to him, providing a guarantee is like giving an equity. “Unless we account for these properly, there are huge contingent liabilities on the government balance sheet as well as on the bank’s, and it is important that we acknowledge them,” he said. On the 80:20 gold import scheme, Rajan said “objective criteria” was followed in liberalising the scheme in May 2014 when the government was in transition. “Our job was to see is this done in a reasonable way. I have not been able to go back to the circulars that were issued and the underlying discussions.” In May 2014, the 80:20 scheme was modified allowing premier trading houses and star trading houses to import gold. The Comptroller and Auditor General (CAG) has observed that gold imported by 13 trading houses during June 2014 to November 2014 resulted in a windfall gain of about Rs 4,500 crore to them. "
Banana becomes dependable crop for farmers in south Guj,31/3/2018,city,"Surat: South Gujarat is a major producer of mangoes and sugarcane, but it is the banana farmers who have been making consistent profits in the region from their yields for the past five years, barring 2017. This is why cultivation area for banana crop has seen five-fold increase in the past five years.Assistant director of horticulture, Surat, Dinesh Padaliya said, “Banana crop has been giving consistent return year after year. There are no major issues of disease in this crop and a farmer can earn up to Rs 60,000 per bigha with good average yield.” A banana farmer Hitesh Upadhaya from Mahuva of Surat district, who cultivated 15 tonne per bigha of this crop last season, said, “ Unlike mango, it been consistent delivering. Market does fluctuate, but compared to other horticulture items, it is always stable.” Farmers say on a bigha of land, there can be 700 banana trees and a tree yields about 27 kg of fruit. A farmer incurs an expense of Rs 50 per tree in a year by way of medicine, water, manure etc. By spending Rs 35,000 on a bigha, a farmer earns Rs 1.35 lakh by selling banana at a rate of Rs 9 per kg. “In normal years, too, the earning is around Rs 60,000 per bigha,” Upadhayay added. Bhagubhai Patel (70), a farmer from Kamrej taluka who was given Rishi of Krishi award in 2010 for growing banana, said, “Some diseases in the crop have been noticed of late. In some cases, the whole stem of banana tree gets torn. There have also been instances when black spots start to appear on the fruit. There is an urgent need to look into this.”Approximately 66,309 hectare of land is under banana cultivation in Gujarat. In 2016-17, banana production in the state was pegged at 42,93,233 metric tonne. In Bharuch, Surat, and Narmada districts alone, 12,571 hectare, 8,705 hectare and 8,160 hectare of land respectively is under banana cultivation. In Bharuch, the production was 895,055.20 MT, in Surat it was 61,0220.50 MT and in Narmada 563,040.00 MT, sources said. "
2 girl judokas from city selected for nat’l c’ship,9/3/2018,city,"Ludhiana: Two city-based girl judokas — Aman (18) and Kavita Dhadial (19) — have made Ludhiana proud on the occasion of International Women’s Day by securing gold medals in the Punjab Open State Judo Youth and Junior Championship matches, held in Jalandhar (Government Senior Secondary School) from March 3 to 4. Apart from winning medals, both have been selected for the National Level Judo Championship matches, which will be played in Jalandhar (PAP Sports Ground) from March 27 to 30. Even though there are seven more city-based girl judokas who showcased the best of their performances, making the district proud in the state meet, they failed to secure a berth in the national squad for further matches. The best performers who holds medals are Anjali Sharma (third place in 40kg), Karan Dehraj (third place in 44kg), Prabhsimran (third in 57kg), Shubhneen (third in 63kg), Bavleen (second in 63kg), Simranjeet Kaur (second in 70kg), and Majot Kaur (second in open weight category). Aman had this to say about her ambition in the sports arena: “Kavita and I were selected for national level tournament matches, where we have to fight with all prominent sports personalities of countries (related to judo games) to qualify for the Asian Championship trials which fall in the middle of April. We have secured gold medals for the second consecutive time in the state meet, but this time, it will come on the occasion of International Women’s Day, so it’s a little more special for us.” Kavita added: “The message we would like to convey to society through our achievement is that families of girls who still think judo is not a sport for girls should change their mindset, as modern girls do better than boys in many sports events. We both are a perfect example of that.” Coach Parveen Thakur said: “The level of confidence which both have built up on their own is extra-ordinary, and we are sure one day they will make the nation proud in the Asian and Commonwealth Games, due to their hard work and dedication.” "
Govt College alumni meet drowns in nostalgia amidst Sahir’s poetry,9/3/2018,city,"LUDHIANA : A gathering of old students descended on the SCD Government College, Ludhiana, for an alumni meet on March 8, and also to celebrate the birth anniversary of Sahir Ludhianvi. Secretary Prof Kamal Kishore welcomed accomplished teachers, bureaucrats, and executives who came from far and wide to participate in the alumni meet and relive their student life. Throwing light on the outstanding poetic talent of Sahir — who gave recognition to this college — Prof Kamal Kishore shared not just insights of Sahir’s college life, but also his personal life, and how the values inculcated by his college left an invaluable mark on his psyche. Principal Dr Dharm Singh Sandhu — who is also president of the Alumni Association — shared with the old students the historical perspective of SCD Government College, which was established in 1920. He also shared the secret of how Britishers — in order to acknowledge the contribution of Punjab during World War II — decided to bless this region with a college. Initially started in Ambala, the college came into the kitty of Ludhiana because of its location, specifically due to the abundance of water on the banks of Satluj river. Taking out a page from history, the principal said the college produced a scientist par excellence by the name of Satish Chandar Dhawan, and how his most lovable and celebrated student, the former President of India Dr APJ Abdul Kalam, owed his success to him. “The college is blessed with a plethora of men and women of academic, scientific, and sporting excellence. The governor of Jammu & Kashmir, NN Vohra; former chief election commissioner of India, Dr MS Gill; besides three Punjab MLAs at present — S Kuldeep Singh Vaid, Bharat Bhusan Ashu, and Sanjay Talwar — all belong to this college. You name a discipline and this college is its nursery,” remarked the principal. The day was infused with nostalgic moments that included a gala show of dance, songs, and band orchestra, with the young and old making merry together. The principal wished good luck to everyone for their pursuits in life, and promised to meet again in the near future. "
Nine-year-old’s march towards a better future,9/3/2018,city,"LUDHIANA: A 9-year-old student of Class IV of Government Primary School, Ayali Kalan, is aiming high in life with a dream to become an English teacher. Daughter of domestic help, who have not even had primary school education, wants to share her knowledge by teaching students. To support her dreams, Navcheana, a child welfare committee formed by government school teachers, has decided to help her complete her higher education. To begin with, on Wednesday the committee members organized a function where they handed her over books, shoes, a lunch box, uniform, water bottle and cheque of Rs 3,000. Meet Gauri, who had stunned everyone with her spoken English during a district-level competition organized recently under ‘Padho Punjab, Padhao Punjab’- an initiative of the state government. She also won first prize in the district and became inspiration of several students of government schools. Navchetna president Sukhdhir Singh Sekhon said, The This organization is formed by all government teachers. We contribute from our salary and use the funds to help needy students. Recently when I saw Gauri performing on stage reading an English paper, I was highly impressed with her fluency and confidence.” “We as teachers perform our duty in schools but along with this we also know the problems of government school students. There is a lot of talent in government schools but most of these children don’t get exposure due to the lack of awareness and weal economical background. Therefore, our organisation decided to adopt such students who can do wonder if provided financial aid,” he added. The organization members said that they adopt students, who were good in academics and sports along with orphans and those with fewer resources. After receiving the school kit and cheques, the father-daughter duo looked elated. Gauri’s father Inder Bahadur said, “I work as a cook in a house in South City area and my wife is also a domestic help. We both have not studied more than Class IV , but I want to ensure that my children study as much as they want. I and my wife earn around 13,000 per month. We have four children and are unable to run our household with this amount. Gauri was very small when she started reading. She would come to me and keep reading documents and any paper and would make me listen to her. At such small age she understands the value of education and I am thankful to the members of Navchetna for adopting her.” Her class teacher Geetmala said, “Gauri is an exceptional student. At such a tender age she has great learning and adapting power. She is so keen to learn English and comes to me with English books that she borrow from seniors. She is good in all subjects.” “My parents work as a domestic helps, but I want to become an English teacher. I want to teach others and share my knowledge. I know this money would help me in studying higher as my parents cannot bear expenses of my studies much longer,” said Gauri. "
Congress has betrayed state: Sukhbir at ‘pol khol’ rally,9/3/2018,city,"LUDHIANA (KOOM KALAN): Taking a dig at the Congress government in the state, Shiromani Akali Dal (SAD) president Sukhbir Badal has alleged that Gandhi family had always committed atrocities and injustice with the people of Punjab whether be it Operation Bluestar or the Sikh riots of 1984. Sukhbir said despite all this, people of Punjab had given a chance to the Congress government this time but now every sector is feeling betrayed and cheated. The SAD president said this while addressing a gathering at a ‘Pol khol’ rally organized by SAD MLA Sharanjit Singh Dhillon in Koom Kalan on Thursday. He also said that the party workers would gherao Punjab assembly on March 20 against the state government for not fulfilling its promises. Sukhbir also condemned the Congress government for the allegation it had raised on the youth of Punjab by saying that 70% of them were drug addicts. He also questioned whether after coming into power the Congress leaders had caught hold of some big drug peddlers or smugglers in the state. Sukhbir said the Congress as well as the Aam Aadmi Party (AAP) leaders gave such statements just to defame Punjab and the SAD so that they could come into power. The SAD chief added that it was condemnable that the Congress government aimed to start old age pension and Shagun scheme from January 2018 this year even though these benefits were pending since more than one year now. He said the SAD would gherao the assembly on March 20. “We will not let the government lie and run away from fulfilling its promises,” he added. Addressing the gathering, Sukhbir said rather than giving any relief to the people the government had introduced new taxes, increased power rates and stopped distribution of social welfare benefits. “Even work on sewerage projects has been stopped. The people have a right to know where money collected on account of GST, excise and other taxes that has come into the government treasury been spent?” The SAD president also made it clear that the party would not tolerate registration of false cases against its cadre and that any officer doing so would have to bear the lawful repercussions. Senior party leader Bikram Singh Majithia said the Congress was running away from discussing its performance and that’s why it had curtailed the budget session to 7 days. Speaking about the recent observations by the chief minister after witnessing illegal sand mining while travelling on a helicopter, Majithia said the CM did not have to rely on aerial surveys to arrive at this conclusion. “He has already been handed over a list of Congress leaders, who are indulging in illegal mining. He needs to act against them.” Speaking on the occasion, former minister and Sahnewal MLA Sharanjit Singh Dhillon said the Congress government was not going ahead with establishment of the Dhanansu focal point deliberately because the people of Sahnewal had reposed faith in the SAD. SAD rejects Justice (retd) Ranjit Singh Commission The Shiromani Akali Dal on Thursday passed a resolution calling for scrapping of the Justice (retd) Ranjit Singh Commission and demanded that all cases of sacrilege during the SAD-BJP tenure as well as the during Congress rule should be probed by a sitting judge of the Supreme Court. The resolution was passed at a rally organized by the party here in the presence of SAD president Sukhbir Singh Badal as well as the senior leadership. Moving the resolution, senior leader Maheshinder Singh Grewal said the party would cooperate with any commission headed by a Supreme Court judge as it was of the firm view that Justice Ranjit Singh (retd) was biased towards the SAD due to his close ties with the Congress party. He also pointed out that the commission was summoning SAD president Sukhbir Singh Badal when recently both chief minister Amarinder Singh as well as the state police chief had stated that foreign agencies were behind recent attempts to create communal tension in Punjab. "
Drug peddler gets 3 years in jail,9/3/2018,city,"LUDHIANA: A local court has sentenced a drug peddler to three-year rigorous imprisonment after finding him guilty in an Narcotic Drugs and Psychotropic Substances (NDPS) case. Judge Special Court Anjana also imposed a fine of Rs.30,000 on the convict and in default of payment of fine he would have to further undergo rigorous imprisonment for four months. On 4 September 2014, Sadar Khanna police station had booked 22-year-old Rinku Kumar of Bazigar Basti in Khanna under the NDPS Act for possession of 50 grams of intoxicant powder. As per prosecution, the cops had stopped Rinku near Bhadla Adda village for checking and recovered 50 gram intoxicant powder from his possession, Besides, he had also affixed a forged number plate on his motor cycle. On receipt of report of chemical examiner and after completion of all necessary formalities of investigation, a challan against the accused was prepared and presented by the area station head officer (SHO) in the court. However, the accused expressed his desire to make a confession. In view of his confessional statement, Rinku was held guilty and was convicted for the offence punishable under the NDPS Act for keeping in his possession 50 grams of intoxicant powder without any licence or authority. "
MC wants tenants to buy their old rental properties,9/3/2018,city,"LUDHIANA: Putting up a last-ditch effort in generating revenue through the sale of their old rental properties, civic officials have now started approaching individual tenants, so that they avail of the policy, and become owners of these properties. The policy will end on March 31, but in the initial months, nobody has reached the MC for the same, therefore now they are approaching individuals. The local bodies department had issued a notification in this regard in November 2017 with an idea to recover old pending dues from tenants who are neither leaving the rental properties, nor letting the rent increase. Some of the tenants are not even paying the rent amount, despite the fact that MC had fixed a nominal rent for these properties. The tenants still have time to pay up until March 31. The tenants will have to pay 25% of the collector rate of the area. One fourth payment will have to be given within one month, and the rest will be payable in three annual instalments. In case the applicant pays the entire amount within 30 days, then an additional 5% rebate will be given. However, officials claimed they had visited each market at least thrice, but it was getting difficult to convince the tenants. It had come to light that some of them had further given shops to other people on rent, so it was getting tough to trace the actual tenants in such cases. The MC had a total of 631 rental properties in the entire city. Out of these, most properties are over 20 years old. Civic officials have to recover around Rs 4.5 crore from these tenants in the form of rent, but in case tenants purchase the shops, then there would be more benefit for MC, because the shops are located in a prime location. Joint commissioner MC Satwant Singh said they had asked officials concerned to issue individual letters to tenants, and also give them a call, so that they could come and take propriety rights over the properties. "
Cheating plan blows up in imposter’s face,9/3/2018,city,"CHANDIGARH: An impersonator was arrested from the Hallomajra centre of Staff Selection Commission’s Combined High Secondary Level (CHSL) Examination on Wednesday and sent into police custody for a day. Accused Rahul, 23, of Rohtak in Haryana claimed he had come to handover an admit card to his friend. Invigilator Ashish from the test centre at Balaji Computers has stated in his complaint that the accused entered the hall by flashing the driver’s licence and admit card of candidate Neeraj, and found a seat after biometric registration. Sector-31 station house officer (SHO) Harminderjit Singh said: “During the distribution of the test booklets, when his face didn’t match with the biometric record of the original candidate, Ashish reported it to his seniors and our cops.” Rahul was booked under Sections 419 (punishment for cheating by impersonation), 420 (cheating), 511(punishment for attempting to commit certain offences), and 120-B (punishment for criminal conspiracy) of the Indian Penal Code (IPC). The SHO claimed to have gathered from during the preliminary interrogation that he was a friend of Neeraj and had come over to give him an admit card that he had forgotten to carry. The accused said Neeraj had called him to the centre with the card. However, police are checking if he is part of a bigger racket of impersonators. They will interrogate candidate Neeraj in a few days. "
"Birders fear diversity of migratory species falling in Basai, Sultanpur",9/3/2018,city,"GURUGRAM: The Asian Waterbird Census (AWC) recorded 67 species of water birds in Sultanpur National Park and the Basai wetland, in the first week of March, even as winter migratory water birds start flying back due to rising temperature. The birders reported 46 species and 3,825 birds at Sultanpur, and 21 species and 1,081 birds at the Basai wetland. At Sultanpur, out of 46 species, 20 are resident ones, while the rest 26 are winter migratory water birds, including Indian species. Eight of the species are listed in the International Union for Conservation of Nature (IUCN) Red List for threatened birds. At Basai, the nine migratory species that were spotted included bar-headed geese, ruddy shelduck, Eurasian coot and western marsh harrier were spotted, while the 12 resident species included spot-billed duck, black-winged stilt, purple swamphen, common moorhen, little grebe and little egret, among others. The seven-member birder team that conducted the census also reported two IUCN threatened species at Basai wetland — painted stork and black-headed ibis. Some IUCN threatened species that were spotted at Sultanpur included the painted stork, oriental darter, black-headed ibis, black-necked stork, sarus crane, common pochard, ferruginous duck and river tern. T K Roy of Wetlands International (South Asia), told TOI, “We recorded lesser species diversity at Sultanpur compared to previous years. However, we can’t compare the exact number, as formal census was not conducted in the national park in the previous years. The numbers are declining due to the impact of global climate change, less rainfall and shrinking and drying of wetlands. Also, this census in March was much delayed, as temperature usually start to rise at this time. As Basai lies very close to the national park and within Sultanpur’s eco-sensitive zone, we also conducted a census at the wetland and found 21 species there. The number is low, but there is need to protect the Basai wetland from fisheries, as it is disturbing this important habitat for birds.” AWC is part of the International Waterbird Census (IWC) of Wetlands International, and the largest water bird census in Asia, carried out simultaneously across 27 countries once a year. The census is also carried out at other important wetlands in the NCR — Okhla Bird Sanctuary, Surajpur wetland, Najafgarh drain and jheel, Yamuna river, Sanjay lake and the National Zoological Park. "
2 men shifting cattle attacked,9/3/2018,city,"KARWAR: Tension prevailed in the communally sensitive port town of Honnavar on Thursday after about 150 gau rakshaks chased and attacked two men for allegedly transporting cattle to a slaughterhouse in Bhatkal on Wednesday night. Cops who rushed to the spot rescued the duo and took them to a hospital in Honnavar, about 490km west of Bengaluru. Sensing trouble, Uttara Kannada district police deployed its personnel in large numbers in Honnavarto avert a clash. The injured — Nurullah Amin Mohammed Zubair Mukhtassar and Gufran, from Bhatkal — are being treated at Kasturba Medical College in Manipal. Police filed a case against 150 unknown persons on charges of attempt to murder and cause of breach under IPC. ‘Cattle smugglers’ vehicles allowed through checkposts’The accused in the incident include Uday Naik, Subraya Gowda, Santosh Shetty, Suraj Naik, Mablu Gowda, Raghu Mesta, Nataraj Shetty and Sudarshan. Nurul said: “We were legally transporting cattle from Ankola to Bhatkal (a distance of 95km) on Wednesday night for a wedding. Suddenly, some people in an SUV started chasing us. It was a coordinated attack as a mob of about 150 people was waiting for us in Honnavar. At Karki checkpoint, they attacked us with iron rods and splinters of soda bottles as soon as we reached the town."" Uttara Kannada BJP spokesperson Rajesh Nayak alleged that cattle smugglers’ vehicles are allowed a free passage through checkposts and till they reach illegal slaughterhouses in Bhatkal. Honnavar witnessed riots after Paresh Mesta, 18, was found dead in December. "
2 booked for raping women on pretext of marriage,9/3/2018,city,"LUDHIANA: On International Women’s Day, two cases of rape were registered in the city. In both the cases, the accused had promised to marry the survivors. In the first case, a 29-year-old complainant, who lives in Canada, said she and the accused knew each other from Class VI as they studied in the same school. She went to live in Moga for some time and then returned to Ludhiana. The complainant said in 2004, she met him again and they fell in love. In 2010, the accused said he wanted to marry her and developed physical relations without her consent. From 2010 to 2012, the accused raped her at various places in Ludhiana and Chandigarh. In 2012, both left for Canada, where too he raped her, she added. The complainant said when they asked family of the accused about marriage, they said he would marry after getting permanent citizenship. “Some of his family members said he could not marry me as I was from a lower caste, and made casteist remarks,” she added. She said the accused asked her to arrange Rs 50 lakh, after which he would give marriage a thought. She again contacted his family, but they abused her and her parents, and refused to the marriage. When they threatened to get her killed, she contacted the police. Cops from the women’s cell have registered a case against the accused. In the second case, the women’s cell booked a Moga resident for rape of a married woman. The 31-year-old complainant said the accused knew that her divorce case was pending in the court. “He, however, said he was ready to marry me before he went to Kuwait. He claimed to have announced our relationship on Facebook in 2016. Last year, he took me on a long drive towards Jagraon and raped me,” she added. She alleged that the accused came to her house when she was alone and raped her again. He also made her talk to his mother, who promised to get them married. After a few days, the accused sent her his picture with a woman on WhatsApp and said he had got engaged to her. The woman lodged a police complaint after he threatened her. "
MC to seek residents’ suggestion for Smart City project,9/3/2018,city,"LUDHIANA: While the already proposed Smart City projects are yet to take off, the civic officials are planning to consult Ludhiana residents again seeking suggestions for the new projects to be included under the mission. The officials are planning to organize public meetings next month, but before that they will discuss the projects with local MLAs and MP. The suggestions will be taken for area-based development component of the Smart City mission. Already there are 24 projects in the list out of which a project regarding installation of solar panels has kicked off while rest of the projects are in the pipeline. The LED street lights will be the second project that will soon be commissioned. However rest of the projects are either at tendering stage or are awaiting approval from the technical teams. The civic officials are waiting for the approval for carcass plant as wel. Requesting anonymity, one of the MC officials claimed that last month a meeting of board of directors for Smart City was held in Chandigarh where they were told to start contacting people for their suggestions regarding new projects. As a result they have decided to begin this exercise. He added that they would contact the public with the help of city-based NGOs and residents welfare associations. Municipal commissioner-cum-chief executive officer of the Smart City mission Jaskiran Singh said that they would start the process for new projects under the Smart City mission and since idea was to involve public before preparing any kind of project, they would also organize meetings with public representatives and other associations. Recently tenders for the projects like surface water supply in the ABD area, development of Malhar Road as smart road and replacement of old sewerage and water supply lines have been floated by the civic body. These projects are likely to bring respite to the residents of Sarabha Nagar, Malhar Road and adjoining areas from the problems of water logging, water contamination and choking of sewerage. Apart from this, Malhar Road will also undergo complete transformation. The civic officials are also planning to prepare detail projects reports (DPRs) for purchasing static compactors and installing smart bins. For both projects, the MC officials require huge funds because private company A2Z waste management will not spend money on the same and the MC itself is unable to do the same due to scarcity of funds. "
Sealing axe falls on five car showrooms,9/3/2018,city,"LUDHIANA: The municipal corporation sealed five luxury car showrooms on GT Road on Thursday for not clearing their change in land use (CLU) dues. The officials started the sealing drive around 8am to avoid any ruckus. Zone C assistant town planner Kuljit Mangat said, “We had served notices on 11 showroom owners on February 2, asking them to pay the CLU charges. The fee is mandatory for any commercial activity. The final notice was issued on March 6, giving the defaulters another 24 hours. While six showroom owners, on Thursday, produced receipts of having cleared the CLU charges, the five others could not and so, their outlets were sealed.” Later in the evening, the five showroom owners deposited CLU charges of Rs 2.5 crore through cheques at MC office. The civic body will now open the seals on Friday morning. Lokpal to listen plaints against MC Punjab Lokpal Chief Justice S K Mittal (retd) will visit the city on Friday to hear complaints against irregularities in construction of buildings. Most of the complaints pertain to the MC building branch and inaction by the officials concerned. Earlier, the hearing used to take place in Chandigarh. This is for the first time that it will be organized here in MC office. The MC officials were on their toes on Thursday, making arrangements for his visit. "
Huda probe hints at scam in online auction of land,9/3/2018,city,"GURUGRAM: Huda has sought a high-level investigation into an alleged e-auction scam after an internal probe found irregularities in online sale of its properties in Gurugram last year. The probe has indicted the urban development authority’s estate office staff for their alleged involvement in the irregularities. TOI had on September 28 highlighted the irregularities in the e-auction of Huda properties in the city, prompting the internal probe. The authority was accused of uploading details of properties on its website just two days before the e-auction in June-July, allegedly to benefit a couple of individuals and causing huge losses to the state exchequer. As per Huda rule, there should be a gap of minimum 20 days between date of uploading of property details on website and e-auction. “Prima facie it was observed that (details of) properties were uploaded very late which had reduced the registration period less than what was has been prescribed,” said the probe report. The report, which was submitted to then Huda chief administrator Yashpal Yadav on March 1, the day he was transferred to MCG, has found that allegations of properties being uploaded on June 16, 2017, for the auction schedule of June 18, 2017, were true. A total of 21 plots were put up for e-auction, of which only six could be sold. “It is matter of investigation whether there was any scam or not. Further it is worth mentioning that all the properties put to auction on these dates could not be sold, but a few properties were sold because against the remaining properties nobody got registration. This has been a trend in most of the auctions during the last one-and-a-half years,” the report says, adding, “Estate officers and staff concerned had been asked time and again to adhere to the timeline and not to delay in uploading details of properties for e-auction. Therefore, they are responsible for such delay and loss caused to authority, if any.” Dhan Raj Bansal, an entrepreneur who first flagged the irregularities, welcomed the move. Bansal said, “Keeping a small window means getting less number of applications, lesser competition and greater risk of losses. There might have been more people who wanted to participate in the bidding but could not.” "
2 machines to clean drains in a city of over 20 lakh,9/3/2018,city,"GURUGRAM: There are just two sewage cleaning machines to keep the lines clear across the city that has a population of over 20 lakh people. Sources within the MCG said that the proposal for the purchase of sewage machines has been pending in Chandigarh for almost two years even as the city struggles with overflowing sewers. One such incident was recently reported from Sector 12a where the sewage was overflowing for a week. According to few councillors, they have even proposed to the government to rent machines if their purchase is not getting the approval, but that too hasn’t seen any development. “Around five months back, during a meeting with chief minister Manohar Lal Khattar, we proposed getting machines on rent as their purchase was taking time. However even that has not happened yet,” said Subhash Singhla, ward 8 councillor. “When MCG has the resources to rent machines, why are we sending men to clean the sewers and putting their lives at risk?” questioned Singhla. When contacted, an MCG official, requesting anonymity, said, “Gurugram desperately needs more sewage cleaning machines, especially in the old city areas . We need at least eight machines so that every zone has two machines each.” Meanwhile, MCG commissioner Yashpal Yadav has asked the engineering team to conduct a survey of all the sewage lines in the city and complete the cleaning process within two months. "
MCG takes up industrial areas’ upkeep,9/3/2018,city,"GURUGRAM: MCG has taken over the responsibility for maintenance of civic infrastructure and basic amenities in industrial areas across Gurugram, giving in to a long-pending demand of city industrialists who have so far been carrying the burden of double taxes to get regular civic services. Now, with MCG signing an MoU with Haryana State Industrial and Infrastructure Development Corporation (HSIIDC) in this regard, industries operating out of sectors 18, 19, 20, 34, 35, 37A and 37B will no more have to pay maintenance charges to HSIIDC for civic facilities. They only need to pay property taxes, as per the existing rates, to MCG, which will, in turn, maintain and repair roads, sewer lines and other infrastructures. “Under the new agreement, MCG will collect property taxes as usual while HSIIDC will work as the maintenance agency. At the end of the year, HSIIDC will have to submit the details of expenditures incurred to MCG which will pay up,” said an MCG official. “The new arrangement will provide a big relief to industrialists, who will not have to pay maintenance charges anymore.” Till now, businessmen have been paying property tax at the rate of Rs 5 per square yards to MCG and maintenance charges at the rate of Rs 14-16 per square metre to HSIIDC. An operation and maintenance committee has been deciding the maintenance charge for individual unit every year based on the upkeep and repair work required in that particular year. Also, a committee will be formed to discuss and sort out any differences that may crop up in future between MCG and HSIIDC. If it fails to come to a consensus on any particular matter, it will be forwarded to Anand Mohan Sharan, principal secretary, the department of urban local bodies. Industrialists welcomed the move and said it would improve the quality of basic services in industrial sectors. “The industries have for long been facing the burden of double taxes. We welcome the development and hope HSIIDC will continue maintaining the areas as it has been till now,” said Animesh Saxena, president, Udyog Vihar Industrial Association. "
