Date,Category,Headline,Text
"December 21, 2019 22:59 IST",industry,BS VI pre-buying to boost demand: VECV," VE Commercial Vehicles Ltd. (VECV), a joint venture between the Volvo Group and Eicher Motors, said it hoped demand would improve in the January-March quarter as a result of pre-buying by customers ahead of BS VI norms kicking in from the next financial year."
"December 21, 2019 22:59 IST",industry,Tata companies in a quandary over reappointing Cyrus Mistry as director ," Tata Sons and three of its group companies ie, Tata Consultancy Services (TCS), Tata Industries Ltd. and Tata Teleservices Ltd. are in a quandry over the re-appointment of former Tata Sons chairman Cyrus Mistry as director on their boards, to comply with the order of the National Company Law Appellate Tribunal."
"December 21, 2019 01:06 IST",delhi,Society of Biotechnology of India launched , Biotechnologists and technocrats — several of whom were once part of the Union Department of Biotechnology — launched a non-profit organisation called the Society of Biotechnology of India (SBPI) on Friday. 
"December 21, 2019 01:04 IST",delhi,Gurugram Police’s ‘regret’ post on gridlock wins hearts," Following the massive traffic jam that left hundreds stranded on the roads for hours in the Millennium City on Thursday due to the unannounced sealing of Delhi-Gurugram border by the Delhi Police, the Facebook post of Gurugram Police expressing “regret” won many hearts with the people appreciating the efforts of the local police. A few, however, complained about the delay in dissemination of information about the traffic restrictions."
"December 21, 2019 01:07 IST",delhi,Finalise draft regulations within a month: NGT to pollution board," Following a plea seeking enforcement of environmental norms by hotels and banquet halls, the National Green Tribunal on Friday directed the Central Pollution Control Board (CPCB) to finalise the draft regulations within one month."
"December 21, 2019 23:04 IST",industry,‘We’re adding one hospital in India every year’, How did DM become part of the company’s name?  DM is Dr. Moopen. There is a story behind DM which most people do not know. When we started changing the name to Aster there was a revolt in the organisation. 
"December 21, 2019 01:08 IST",delhi,Jamia V-C reassures students of support," Vice-Chancellor of Jamia Millia Islamia, Najma Akhtar wrote an open letter to students of the university on Friday, reassuring them of the administration’s support and stating that “..we will get through the crisis together and will emerge stronger and tougher.”"
"December 21, 2019 01:28 IST",delhi,40 detained near Delhi's Daryaganj police station as protest turns violent ," Stones, footwear and bloodstains on streets were the remnants of a protest against the Citizenship (Amendment) Act,   but ended with arson two kilometres away near the Daryaganj police station on Friday."
"December 21, 2019 01:29 IST",delhi,Group of locals keep vigil at protest site, About 50-60 youth at Jama Masjid were present in the crowd to keep a vigil in case anyone tried to incite violence during the protest. The local committees in the area said they met senior police officers ahead of the stir to discuss strategies to ensure a peaceful protest. 
"December 21, 2019 01:29 IST",delhi,Thousands throng Jama Masjid to protest citizenship law," As Friday prayers ended around 12.50 p.m. at Jama Masjid, thousands stood on the steps of the mosque and raised Tricolours while shouting slogans against the Citizenship (Amendment) Act. The peaceful protest continued till late in the evening as the police stood on the sidelines. "
"December 21, 2019 01:41 IST",delhi,Seventeen metro stations shut amid stir in Delhi," In a bid to restrict movement of those intending to participate in demonstrations against the amended Citizenship Act, the Delhi Metro Rail Corporation (DMRC) on Friday closed 17 metro stations across the network following orders from the Delhi Police."
"December 21, 2019 01:42 IST",delhi,NHRC team visits Jamia Millia Islamia, The National Human Rights Commission (NHRC) deputed a fact-finding team to inspect the Jamia Millia Islamia (JMI) premises on Friday to inquire into claims of human rights violations during the recent police crackdown at the university.
"December 21, 2019 01:40 IST",delhi,"Protests at Seemapuri, JMI, India Gate and Seelampur "," The Capital on Friday witnessed a wave of fresh protests and demonstrations against the amended Citizenship Act as thousands took to the streets shouting anti-government slogans.  Protests were witnessed in Jamia Millia Islamia, Seemapuri, India Gate and north-east Delhi’s Seelampur."
"December 21, 2019 01:29 IST",delhi,Family on footpath next to Jama Masjid oblivious of stir," Mohammed Taiyyab (15) and his family, who live on the footpath next to Jama Masjid gate number 1, said they mostly slept throughout the protest but went to their relative’s house in the evening because of security reasons."
"December 21, 2019 01:43 IST",delhi,Tiwari holds public reading of CAA in C.P.," BJP State chief Manoj Tiwari on Friday held a public reading of the amended Citizenship Act at Central Park in C.P. here seeking to clear the “confusion” regarding it. The North East Delhi MP had also invited Chief Minister Arvind Kejriwal and his counterpart from the State unit of the Congress, Subhash Chopra, for the event. Mr. Kejriwa and Mr. Chopra, however, were not in attendance. “I had called them [Mr. Kejriwal and Mr. Chopra] for a debate in the presence of the media and the local people... but neither of them turned up,” he said."
"December 21, 2019 01:44 IST",delhi,Tiwari flags off 14 Digital Raths as part of poll campaign, Delhi BJP chief Manoj Tiwari on Friday flagged off 14 ‘Digital Raths’ from the party’s State headquarters here. It will illustrate to the residents of illegal colonies the “struggle behind regularisation of such colonies” through video screening. 
"December 21, 2019 01:43 IST",delhi,Demonstration in support of CAA," While demonstrations against the amended Citizenship Act took place across the national capital on Friday, scores of people gathered at Central Park in Connaught Place in support of the recently passed Act. "
"December 21, 2019 02:16 IST",delhi,Several people gather outside Delhi Police HQ to demand release of those detained in Daryaganj," Several people gathered outside the Delhi Police Headquarters on Friday demanding the release of around 40 persons detained during a violent protest in Daryaganj.  According to the police, the protesters set ablaze a private car parked at Subhash Marg area, Daryaganj.The fire was immediately doused with water and fire extinguishers."
"December 21, 2019 07:50 IST",delhi,Anti-CAA protests: Bhim Army chief Chandrashekhar Azad taken into police custody ,"  Bhim Army chief Chandrashekhar Azad was taken into police custody from   in the early hours on Saturday morning.  He was inside the mosque in protest against the Citizenship (Amendment) Act. “We have to make sacrifice so that the legislation is taken back. We do not support violence. We were sitting inside the mosque since Friday morning and our people were not involved in violence,” he said. "
"December 21, 2019 18:30 IST",delhi,Delhi Waqf Board to give ₹5.5 lakh each to kin of those killed during anti-CAA protests ,  The Delhi Waqf Board on Saturday announced that it will give a financial assistance of ₹5.5 lakh each to the families of those killed during violent protests against the Citizenship (Amendment) Act.
"December 21, 2019 10:50 IST",delhi,Anti-CAA protests: Police detains minors in Delhi’s Daryaganj police station ," Parents gathered outside the Daryaganj police station on Friday in search of their children who went missing after  .   
Thousands throng Jama Masjid to protest citizenship law
 Kirat Randhawa, a lawyer, said that a few of the parents had gotten word that the police had detained minors. “Police is no cooperating and nor they are allowing me inside. They have provided the list of 32 adults but when asked about minors, police said they will hand over them to their parents,” said Ms Randhawa."
"December 21, 2019 01:44 IST",delhi,Delhi Police on its toes ahead of PM’s rally as intel hints at ‘threat’," Prime Minister Narendra Modi’s “thanksgiving rally” will be held at Ramlila Maidan, located at the crossroads between Lutyens’ Delhi and the old Walled City, on Sunday under heavy police deployment after intelligence inputs suggesting a “threat” to his safety during the event in addition to the ongoing protests against the amended Citizenship Act in the Capital."
"December 21, 2019 01:15 IST",other states,"No one will be thrown out, Maharashtra CM ","  Chief Minister Uddhav Thackeray on Friday assured all that his government would protect the rights of citizens of every caste and religion in the State. “The citizens need not have any misconceptions on the Citizenship Amendment Act. This government will ensure the protection of rights of citizens of every caste and religion,” Mr. Thackeray reiterated in Assembly."
"December 21, 2019 01:10 IST",other states,Cabinet expansion likely early next week," The tripartite government of the Maha Vikas Aghadi (MVA) will go for a full-fledged expansion of its Cabinet early next week.  As many as 29 ministers are likely to take oath, with the Shiv Sena keeping 10 ministries, the Nationalist Congress Party (NCP) 11 and the Congress eight, sources in the government said. "
"December 21, 2019 01:16 IST",other states,Farm loan waiver within two to three months: Ajit Pawar," Senior Nationalist Congress Party (NCP) leader and former deputy chief minister Ajit Pawar on Friday said the process to grant a loan waiver to farmers will be completed within two to three months. “The leaders of this government have promised a farm loan waiver. The government is at present discussing all aspects of the scheme. Our leader Sharad Pawar gave the loan waiver at the Centre and he is guiding us. Our government has decided to extend the benefits of the scheme to every needy farmer, and it will be completed within two to three months,” Mr. Pawar told reporters."
"December 21, 2019 01:19 IST",other states,CAG pulls up govt. over pending utilisation certificates ," The State government failing to submit utilisation certificates (UC) for funds amounting to ₹65,921.35 crore as on March 31, 2018, indicated a lack of proper monitoring by departments of the use of grants that had been sanctioned for specific purposes, said a report of the Comptroller and Auditor General of India (CAG) on the State’s finances for 2017-18."
"December 18, 2019 09:53 IST",markets,Rupee slips 13 paise to 71.11 against U.S. dollar,  The rupee opened on a weak note and fell 13 paise to 71.11 against the US dollar in early trade on Wednesday amid strengthening of the U.S. dollar against other currencies overseas. Forex traders said muted opening of domestic equities weighed on the local unit.
"December 18, 2019 10:06 IST",markets,"Sensex hits lifetime peak of 41,480, Nifty above 12,100","  Equity benchmark BSE Sensex jumped 129 points to hit its lifetime high of 41,480.91 in early trade on Wednesday tracking gains in index heavyweights TCS, HDFC Bank, Infosys and RIL amid unabated foreign fund inflow."
"December 18, 2019 17:22 IST",markets,Tata stocks slide in last minutes of trading, The impact of the ruling by the National Company Law Appellate Tribunal (NCLAT) was clearly visible on Tata Group stocks on Wednesday as shares of all group entities came off the day’s highs during the fag end of the trading session when the order details emerged in public domain.
"December 18, 2019 17:19 IST",markets,"Sensex, Nifty soar to fresh lifetime highs; Tata Motors drops over 3% ","  Equity benchmarks Sensex and Nifty surged to fresh highs on December 18, tracking gains in index heavyweights HDFC Bank, RIL and ITC amid unabated foreign fund inflows. After rallying to its record intra-day peak of 41,614.77, the 30-share BSE Sensex settled 206.40 points, or 0.50%, higher at its all-time closing high of 41,558.57."
"December 19, 2019 09:56 IST",markets,"Sensex, Nifty turn choppy on tepid global cues "," Equity benchmarks Sensex and Nifty started on a choppy note on Thursday as global investors turned cautious over  . , the 30-share BSE index was trading 24.89 points or 0.06% lower at 41,533.68 in opening session."
"December 19, 2019 10:08 IST",markets,Rupee slips 5 paise to 71.02 against U.S. dollar,  The rupee opened on a weak note and fell 5 paise to 71.02 against the U.S. dollar in early trade on Thursday tracking cautious opening in domestic equities. Forex traders said rupee is trading in a narrow range amid lack of cues on the domestic front.
"December 19, 2019 11:03 IST",markets,Tata Group stocks remain under pressure after NCLAT order reinstating Cyrus Mistry ," Shares of various Tata Group companies remained under pressure on Thursday as well, falling up to 2% in morning trade, after the   as Tata Sons Chairman. Tata Power Company fell 1.62%, Tata Coffee declined 1.52%, Tata Metaliks dipped 1.60%, Tata Steel 1.46% and Tata Communications 1.23% on the BSE in early trade."
"December 19, 2019 17:06 IST",markets,"Sensex, Nifty rally to fresh record highs; Yes Bank surges 7%","  Extending their record-setting streak for the third session, market benchmarks Sensex and Nifty advanced to fresh highs on Thursday, led by buying in energy, IT and auto counters amid persistent foreign fund inflows."
"December 19, 2019 17:10 IST",markets,"Gold continues to witness muted trend, up marginally by ₹12","  Gold witnessed muted trend for the third consecutive day as prices rose marginally by ₹12 to ₹38,804 per 10 gram on Thursday, according to HDFC Securities.  The precious metal had closed at ₹38,792 per 10 gram on Wednesday."
"December 19, 2019 22:20 IST",markets,RBI to conduct ‘Operation Twist’ to manage yields on December 23," The Reserve Bank of India (RBI) will simultaneously buy and sale government securities worth ₹10,000 crore each on December 23 under its open market operations — a move aimed at managing the yields. “On a review of the current liquidity and market situation and an assessment of the evolving financial conditions, the Reserve Bank has decided to conduct simultaneous purchase and sale of government securities under Open Market Operations (OMO) for ₹10,000 crore each on December 23, 2019,” the RBI said. The RBI will purchase the longer-term maturities, that are trading at a spread of 150 bps (basis points) over the repo rate, so that the yield of these papers will soften and sell the shorter duration ones."
"December 19, 2019 17:36 IST",markets,Rupee settles 6 paise down at 71.03 against US dollar ,  The rupee depreciated by 6 paise to close at 71.03 against the US dollar on Thursday as steady rise in crude oil prices weighed on investor sentiments.  Forex traders said the rupee ended on a weak note as importers rushed for hedging amid expectations of intervention by the central bank.
"December 19, 2019 01:51 IST",delhi,Nirbhaya convicts’ view on mercy plea sought, A Delhi court has asked the Tihar jail authorities to ascertain from the four 2012 Nirbhaya gang rape death row convicts whether they wanted to file mercy petitions with the President. The jail authorities have to take their opinions and respond to the court within a week.
"December 16, 2019 22:21 IST",industry,"Brookfield buys Jio tower arm for ₹25,215 cr."," Reliance Industries’ wholly-owned subsidiary Reliance Industrial Investments and Holdings Limited (RIIHL) has entered into binding agreements with Brookfield Infrastructure and its institutional partners for an investment of ₹25,215 crore in the units to be issued by the RIIHL sponsored Tower Infrastructure Trust."
"December 16, 2019 22:22 IST",industry,RBI kept out Muslim long-term visa holders from property-buying right ," With the controversial Citizenship Amendment Act (CAA) coming into force, the spotlight is now on a Reserve Bank of India (RBI) circular issued back in March 2018 that allowed the now beneficiaries of the Act to buy immovable property."
"December 19, 2019 01:53 IST",delhi,Convict moves court claiming he was juvenile," One of the four convicts facing death sentence in the 2012 gang rape and murder case moved the Delhi High Court on Wednesday claiming that he was a juvenile at the time of the offence. Convict Pawan Kumar Gupta, in his plea, said he was a juvenile at the time of the incident. The High Court has listed the case for hearing on Thursday. Pawan alleged that his ossification test was not conducted by the investigating officers."
"December 16, 2019 18:19 IST",industry,"ArcelorMittal, Nippon Steel complete acquisition of Essar Steel"," ArcelorMittal, world’s largest steel maker on Monday completed the acquisition of Essar Steel India Limited (ESIL), and simultaneously established a joint venture with Nippon Steel Corporation (Nippon Steel), called ArcelorMittal Nippon Steel India Limited (AM/NS India), which will own and operate ESIL."
"December 19, 2019 01:53 IST",delhi,Three convicted in attempt-to-murder case," A Delhi court has convicted three persons in an attempt to murder case reported in west Delhi in 2014. Though the prosecution failed to recover the knife with which the victim was stabbed, the court held them guilty of the offence on the basis of evidence by three witnesses and the injured person."
"December 16, 2019 22:25 IST",industry,U.K. HC rejects plea against Anil Ambani ," The U.K. High Court has dismissed summary judgement application of a $680 million claim raised by Chinese banks against industrialist Anil Ambani.  ‘Mr. Anil Ambani is pleased with the dismissal of the summary judgment application filed by the Chinese banks before the U.K. High Court. Mr. Ambani's position that the claim made by Chinese Banks in relation to his alleged guarantee for corporate loans availed by Reliance Communications could not be granted by way of a summary judgement has been duly upheld by the U.K. High Court,” said a spokesperson for Anil Ambani. "
"December 16, 2019 22:24 IST",industry,BYD plans to make India a hub for S. Asia business," Shenzhen-based BYD Co. Ltd., which counts Warren Buffett among its investors, is charting out major plans to electrify its presence in India, which it sees as a “global powerbank”, and make the country a hub for its South Asia business."
"December 16, 2019 22:35 IST",industry,Equitas SFB files draft papers for IPO ," Equitas Small Finance Bank has filed draft red herring prospectus with markets regulator SEBI for its initial public offering (IPO). The IPO comprises fresh issue up to ₹550 crore and an offer-for-sale of up to 8 crore equity shares by Equitas Holdings Limited, the promoter entity of Equitus SFB. "
"December 16, 2019 22:52 IST",industry,RBI asks banks to waive NEFT charges," The Reserve Bank of India has asked all the banks to waive charges levied for National Electronic Funds Transfer (NEFT) for online transactions, with a view to boost digital payments. “To give further impetus to digital retail payments, it has now been decided that member banks shall not levy any charges from their savings bank account holders for funds transfers done through NEFT system which are initiated online (viz. Internet banking and/or mobile apps of the banks,” RBI said. The rules are effective January 1, 2020. Banks used to charge about ₹5 for NEFT transactions between ₹10,000 and ₹1 lakh, ₹15 for transactions between ₹1 lakh up to ₹2 lakh and ₹25 for the ₹2 lakh-₹5 lakh range."
"December 16, 2019 12:01 IST",economy,India’s weak household consumption to curb economic growth: Moody’s , Moody’s Investors Service on Monday said that India’s weak household consumption will curb economic growth and weigh on the credit quality of Indian issuers in a range of sectors.  Moody’s has lowered its GDP growth projection for India for the fiscal year ending March 2020 to 4.9% from 5.8%.
"December 16, 2019 22:23 IST",industry,Legacy arms help Air India in cruising through steep financial headwinds," At a time when Air India (AI) is striving to keep the operations going despite serious financial crunch, several of its arms are helping it stay afloat. These institutions, namely its engineering division, now called Air India Engineering Services Ltd., that runs MRO services, its security department with 3,600 personnel as well as its Aviation Security Training Institute, in-house crew training institute and simulator facility are helping it to manage operations in a cost-effective manner."
"December 16, 2019 12:39 IST",economy,"RBI saw growth slowdown, acted ahead of time by cutting rates: Shaktikanta Das","  Reserve Bank of India (RBI) Governor Shaktikanta Das on Monday said the central bank had acted ahead of time by slashing rates in February this year, and hoped the decision to pause rate cuts earlier this month will prove to be a right call over time. "
"December 16, 2019 22:21 IST",economy,Future revenues critical for finance panel: 15th Finance Commission Chairman," Future revenues are the most critical issue for the 15th Finance Commission, chairperson N.K. Singh said on Monday, adding that revenues from the Goods and Services Tax are the ‘elephant in the room’. He also hinted at the need to consider an incentive structure for States in order to encourage increased tax collections."
"December 16, 2019 13:50 IST",economy,WPI inflation rises to 0.58 pc in Nov ,"  Wholesale prices based inflation rose to 0.58% in November, as against   due to increase in prices of food articles.  The annual inflation, based on monthly wholesale price index (WPI), was at 4.47% in November 2018."
"December 16, 2019 22:21 IST",economy,Costlier food items spur WPI to 0.58%," The wholesale price-based inflation quickened to 0.58% in November 2019 against 0.16% in October. However, year-on-year, slowed compared to 4.47% in November 2018.  A Commerce Ministry statement said the index for food articles rose 1.4% due to higher prices of urad, fish-marine, moong, rajma, jowar, egg, condiments and spices, fruits and vegetables, masur, wheat, arhar and poultry chicken. Prices of maize, tea and ragi declined."
"December 16, 2019 22:22 IST",economy,"Growth slowdown not entirely due to global factors, says Shaktikanta Das "," Reserve Bank of India (RBI) Governor Shaktikanta Das has called for greater coordination among all countries to revive growth, while observing that the growth slowdown in India was not entirely due to global factors."
"December 16, 2019 19:14 IST",economy,"Under fire, govt. releases ₹35,298 cr. in GST compensation "," The Centre released ₹35,298 crore to the States in Goods and Services Tax (GST) compensation on Monday, just two days before a crucial meeting of the GST Council. The decision comes at a time when several States had  urged the Centre to transfer the compensation payments, which have been pending for several months, with the Punjab government warning that it was prepared to take the issue to the Supreme Court."
"December 16, 2019 17:18 IST",economy,"The extent of India’s economic slowdown has surprised many, including us at the IMF: Gita Gopinath","  With economic growth slowing to a six-year low, Gita Gopinath says the government should undertake structural reforms such as bank clean-up and labour reforms to address the slowdown in domestic demand."
"December 16, 2019 01:14 IST",delhi,"Making the city safer for women, one order at a time"," Following the gruesome December 16, 2012, gang-rape incident, the Delhi High Court had initiated a suo motu public interest litigation regarding steps to be taken to prevent such an occurrence in the future. "
"December 16, 2019 01:15 IST",delhi,‘Will consider my job done when Nirbhaya case convicts are hanged’," “I will achieve job satisfaction and consider my work done when the convicts in the Nirbhaya case are hanged,” said Inspector Pratibha Sharma, investigating officer in the brutal December 16, 2012, gang-rape case."
"December 16, 2019 01:20 IST",delhi,"Bridge to be built over Yamuna to connect Palwal with Aligarh, Khurja"," Haryana Chief Minister Manohar Lal on Sunday said that a bridge would be constructed at a cost of ₹110 crore over Yamuna river near Hasanpur in Palwal to connect with Uttar Pradesh.  While referring to his meeting with Uttar Pradesh Chief Minister Yogi Adityanath on Saturday, the Chief Minister said that with the construction of this bridge, Hodal area of Palwal district would have better connectivity with Khurja and Aligarh of neighbouring Uttar Pradesh."
"December 16, 2019 01:40 IST",delhi,JMI students disassociate themselves from violence, The students of Jamia Millia Islamia (JMI) on Sunday disassociate themselves from the violence that has erupted in the area surrounding the university. The university administration has stood by them by having issued a statement saying none of the students of JMI was involved in the destruction of public property.
"December 16, 2019 01:21 IST",delhi,Plea in court challenging ban on traditional cotton ‘manja’," A petition before the Delhi High Court has challenged the ban on manufacture, sale, purchase and storage of traditional cotton ‘manja’, a thread used in kite flying. An association representing shopkeepers engaged in the trade of kite flying material, including ‘manja’, in its plea has contended that the Delhi government notification putting prohibiting on cotton ‘manja’ was contrary to the National Green Tribunal’s (NGT) order based on which it was issued."
"December 16, 2019 01:22 IST",delhi,Working towards providing 24-hour tap water: Kejriwal, Delhi Chief Minister Arvind Kejriwal while addressing a public gathering at Delhi Cantonment constituency on Sunday said that his government was working on providing 24-hour tap water supply to the people of Delhi. 
"December 16, 2019 01:18 IST",delhi,Only 32% of rape cases ended in conviction in 2017," Less than a third of rape cases heard by the courts ended in conviction in 2017, data from the National Crime Records Bureau (NCRB) has revealed. Out of a total of 18,099 rape cases decided by various courts in 2017, the State was able to secure conviction in only 5,822 cases."
"December 16, 2019 01:39 IST",delhi,"Police enter Jamia Millia campus, march students out"," Jamia Millia Islamia and the areas surrounding it turned into a battlefield on Sunday as clashes erupted between thousands of protesters opposing the Citizenship Act and the Delhi Police.  The posh New Friends Colony was littered with tear gas shells, shattered glass from vehicles and the gutted remains of buses. What began as a peaceful demonstration culminated in lines of students being marched out of the university’s campus, late in the evening, with their hands up in the air."
"December 16, 2019 02:02 IST",delhi,"Police crackdown at AMU, students told to vacate hostels"," Police entered the AMU campus on Sunday evening after a clash broke out between students and the police. Sources in the Jawaharlal Nehru Medical College said that at the least 60 students were brought in with injuries after the clash. Salman Imtiaz, president of the outgoing Students’ Union is also injured with rubber bullet injuries."
"December 16, 2019 01:43 IST",delhi,Gates at metro stations shut," To prevent protests against police action on students at Jamia Millia Isamia, the Delhi Metro closed the gates of several stations late on Sunday .  The DMRC tweeted that entry and exit gates of GTB Nagar, Shivaji Stadium, Patel Chowk, Vishwavidyalaya, Vasant Vihar, Munirka, R.K. Puram metro stations had been closed on the advice of the police. "
"December 16, 2019 01:41 IST",delhi,"Political parties, unions denounce use of violence", Delhi Chief Minister Arvind Kejriwal on Sunday condemned the violence in the area around Jamia Millia Islamia (JMI) and said that no one should indulge in violence and that protests should remain peaceful. 
"December 16, 2019 01:41 IST",delhi,"Students from other universities come out in solidarity, protest at PHQ"," Shocked by the brutality of the Delhi Police towards Jamia Millia Islamia students on Sunday, hundreds of students from Jawaharlal Nehru University, Delhi University and Ambedkar university gathered at the gates of the Delhi Police Headquarters at ITO around 9 p.m. demanding action against the force."
"December 16, 2019 01:42 IST",delhi,Police and protesters clash for three hours; over 200 tear gas shells used," Around 500 security personnel, including Delhi Police and paramilitary officers, were deployed in south-east Delhi on Sunday as protests against the Citizenship Act turned violent.  The clash between the police and the protesters continued for around three hours outside Jamia Millia Islamia metro station. Stones were pelted by both sides. The police also fired tear gas shells in an attempt to disperse the crowd, but to no avail. "
"December 16, 2019 03:30 IST",delhi,"On Day 12, DU teachers shift dharna to V-C office"," Delhi University teachers on Sunday gathered at the Vice-Chancellor’s office on the 12th day of their dharna with “Value Teachers, Save DU” written on their umbrellas.  The teachers said that they used the umbrellas as a symbol of refuge and inclusivity. The DU Teachers’ Association (DUTA) said: “Umbrellas enable individuals to come together and unite to protect themselves. The union and staff associations are umbrellas present for every teacher. On the other hand, the HRD Ministry and the DU administration are the umbrellas that have stopped working for the well being of teachers and education.”"
"December 16, 2019 01:18 IST",delhi,Traffic woes at Kherki toll plaza on Day One of FASTag implementation," Traffic at the Kherki Daula toll plaza, one of the busiest National Highways Authority of India toll plazas, remained unusually heavy on Sunday, the first day of implementation of the dedicated FASTag lanes, with vehicles queuing up on both sides during rush hours."
"December 16, 2019 04:30 IST",delhi,Congress protests against rising price of milk in city," The Delhi Congress on Sunday held a protest at Connaught Place against the rising prices of milk.  The party blamed the Narendra Modi government for raising the prices and “inflicting another big blow on the people” who are already burdened by the economic crash and rise in the prices of essential goods, including vegetables and onions”."
"December 16, 2019 00:14 IST",other states,10-year-old girl kills classmate in Rajasthan after tiff over pen,"  A 10-year-old girl was sent to a juvenile home in Jaipur on Sunday for allegedly killing her classmate after the two got into an argument over a pen, police said. The girl’s parents were also sent to jail for destroying evidence by dumping the body of the 12-year-old in an open ground, officials said. The incident happened on December 11 when the victim had gone to the girl’s house to get her pen back but an argument led to a fight. The accused girl attacked the other with an iron rod in which the victim sustained critical injuries leading to her death, officials said. "
"December 19, 2019 01:53 IST",delhi,"Mercury drops to 7°, lowest this season"," The minimum temperature in the national capital dropped to 7 degrees Celsius on Wednesday, the lowest this season, according to Regional Meteorological Center, New Delhi.  Light rainfall and cloudy skies are expected in the city on Friday and Saturday. "
"December 16, 2019 12:58 IST",delhi,Jamia students protest shirtless against police action on anti-Citizenship Act ," A group of Jamia Millia students stood shirtless in the bone-chilling cold outside the university gates on Monday and formed a human chain to protest  .  Slogans of “Inquilab Zindabad” rent the air as the group of around 10 students, accompanied by their fellow colleagues, took out a small march, demanding a CBI inquiry into the “police brutality.”"
"December 16, 2019 11:00 IST",delhi,Anti-Citizenship Act protest: Two FIRs registered for violence near Jamia Millia Islamia university," The Delhi Police lodged two FIRs on December 16 in connection with the violence during the protest against the  in Jamia Nagar area and Marhura Road, said Delhi police on Monday. One FIR was registered at New Friends Colony police station, while another was lodged at the Jamia Nagar police station, he added."
"December 16, 2019 09:25 IST",delhi,Traffic movement closed from Sarita Vihar to Kalindi Kunj ," A day after violent protests in southeast Delhi against the new citizenship law, traffic movement was closed from Sarita Vihar to Kalindi Kunj on December 16 morning as part of precautionary measure, police said."
